No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
27,PFS,"Provident Financial Services, Inc.",2.54B,19.47,823.47M,92.62%,230.94M,Financials,Banks - Regional,-2.58B,578.61M,"222,459"
28,BMNR,"Bitmine Immersion Technologies, Inc.",8.99B,51.82,5.45M,89.77%,-6.53M,Financials,Capital Markets,-401.50K,1.57M,"18,201,277"
29,TVTX,"Travere Therapeutics, Inc.",2.04B,22.87,333.87M,87.94%,-169.06M,Healthcare,Biotechnology,-80.04M,-115.59M,"900,996"
30,STEP,StepStone Group Inc.,7.25B,60.88,1.35B,87.87%,-231.32M,Financials,Asset Management,-137.95M,55.42M,"92,122"
218,COMM,"CommScope Holding Company, Inc.",3.60B,16.26,4.75B,20.87%,722.60M,Technology,Communication Equipment,-6.82B,248.10M,"1,272,743"
32,CLSK,"CleanSpark, Inc.",3.04B,10.82,631.94M,84.66%,292.47M,Financials,Capital Markets,-781.47M,-571.11M,"9,697,659"
13,QBTS,D-Wave Quantum Inc.,6.32B,18.48,22.28M,120.20%,-281.54M,Technology,Computer Hardware,779.33M,-53.06M,"18,229,040"
79,TAL,TAL Education Group,6.75B,11.1,2.41B,47.99%,104.47M,Consumer Staples,Education & Training Services,3.10B,387.19M,"1,895,884"
35,ALVO,Alvotech,2.49B,7.97,562.48M,82.19%,63.36M,Healthcare,Drug Manufacturers - Specialty & Generic,-1.12B,-122.75M,"68,542"
36,LBTYA,Liberty Global Ltd.,4.00B,11.75,4.63B,81.79%,-3.32B,Communication Services,Telecom Services,-7.62B,439.50M,"500,402"
37,LBTYB,Liberty Global Ltd.,4.06B,11.61,4.63B,81.79%,-3.32B,Communication Services,Telecom Services,-7.62B,439.50M,-
38,LBTYK,Liberty Global Ltd.,4.06B,11.84,4.63B,81.79%,-3.32B,Communication Services,Telecom Services,-7.62B,439.50M,"413,497"
39,FIGR,"Figure Technology Solutions, Inc.",8.31B,39.87,327.24M,81.34%,61.94M,Financials,Credit Services,-126.53M,-,"3,991,463"
40,HHH,Howard Hughes Holdings Inc.,4.87B,81.92,1.77B,80.45%,227.48M,Real Estate,Real Estate - Diversified,-3.78B,519.37M,"63,533"
258,LRN,"Stride, Inc.",5.94B,137.99,2.41B,17.90%,287.94M,Consumer Staples,Education & Training Services,461.61M,431.04M,"642,072"
42,LEGN,Legend Biotech Corporation,6.37B,34.5,796.84M,74.75%,-325.33M,Healthcare,Biotechnology,579.64M,-290.37M,"473,774"
43,EQX,Equinox Gold Corp.,8.22B,10.72,1.91B,74.31%,-23.06M,Materials,Gold,-1.66B,166.04M,"8,099,715"
290,PRDO,Perdoceo Education Corporation,2.26B,34.81,768.84M,15.99%,154.44M,Consumer Staples,Education & Training Services,513.45M,205.39M,"146,646"
45,AXSM,"Axsome Therapeutics, Inc.",5.65B,113.21,495.03M,69.83%,-246.90M,Healthcare,Biotechnology,85.71M,-121.10M,"236,256"
12,EOSE,"Eos Energy Enterprises, Inc.",2.27B,8.12,33.80M,128.49%,-1.02B,Industrials,Electrical Equipment & Parts,-328.12M,-217.00M,"5,073,843"
309,POWL,"Powell Industries, Inc.",3.51B,291,1.08B,14.32%,175.38M,Industrials,Electrical Equipment & Parts,431.82M,81.04M,"54,572"
311,TTMI,"TTM Technologies, Inc.",5.06B,49,2.65B,14.24%,93.19M,Technology,Electronic Components,-578.54M,17.64M,"440,880"
41,LGN,Legence Corp.,3.25B,31.93,2.21B,77.61%,-46.27M,Industrials,Engineering & Construction,-1.61B,85.02M,"365,731"
50,JBTM,JBT Marel Corporation,7.09B,136.42,2.71B,64.98%,-137.70M,Industrials,Specialty Industrial Machinery,-1.81B,282.90M,"67,701"
51,AMSC,American Superconductor Corporation,2.51B,55.51,254.89M,63.73%,15.28M,Industrials,Specialty Industrial Machinery,204.13M,26.04M,"291,585"
52,SEI,"Solaris Energy Infrastructure, Inc.",2.06B,30.41,446.98M,62.66%,21.37M,Energy,Oil & Gas Equipment & Services,-448.61M,-440.33M,"728,997"
53,MIRM,"Mirum Pharmaceuticals, Inc.",3.73B,74.2,429.16M,62.33%,-58.56M,Healthcare,Biotechnology,-14.35M,8.63M,"117,832"
104,ROAD,"Construction Partners, Inc.",6.90B,123.09,2.45B,39.18%,74.52M,Industrials,Engineering & Construction,-1.39B,152.81M,"108,018"
55,CRC,California Resources Corporation,4.74B,56.61,3.62B,60.00%,665.00M,Energy,Oil & Gas Exploration & Production,-1.02B,499.00M,"304,128"
56,MRUS,Merus N.V.,5.09B,67.24,56.23M,59.77%,-385.52M,Healthcare,Biotechnology,880.95M,-313.16M,"192,542"
57,TRMK,Trustmark Corporation,2.36B,39.18,758.38M,58.50%,217.12M,Financials,Banks - Regional,-604.59M,261.69M,"68,722"
149,AGX,"Argan, Inc.",3.28B,237.28,920.89M,29.16%,117.20M,Industrials,Engineering & Construction,569.81M,140.30M,"65,147"
59,IAG,IAMGOLD Corporation,6.54B,11.13,1.97B,57.81%,798.70M,Materials,Gold,-953.90M,-9.30M,"3,906,674"
60,PRM,"Perimeter Solutions, Inc.",3.12B,21.32,609.32M,56.87%,79.53M,Materials,Specialty Chemicals,-681.28M,169.95M,"401,763"
61,KNSA,"Kiniksa Pharmaceuticals International, plc",2.65B,35.81,529.33M,56.18%,4.79M,Healthcare,Drug Manufacturers - Specialty & Generic,298.02M,66.49M,"77,877"
202,ECG,"Everus Construction Group, Inc.",4.01B,78.54,3.27B,21.87%,165.75M,Industrials,Engineering & Construction,-278.30M,128.71M,"100,044"
63,RLX,RLX Technology Inc.,3.15B,2.585,407.35M,55.36%,101.45M,Consumer Staples,Tobacco,1.01B,151.82M,"1,448,504"
64,TLX,Telix Pharmaceuticals Limited,3.18B,9.37,664.23M,55.35%,10.84M,Healthcare,Biotechnology,-211.10M,9.64M,"58,743"
65,UPST,"Upstart Holdings, Inc.",6.36B,66.11,884.81M,53.62%,-6.35M,Financials,Credit Services,-1.14B,-65.46M,"2,505,022"
66,SNEX,StoneX Group Inc.,4.89B,93.79,129.41B,53.56%,287.00M,Financials,Capital Markets,7.14B,989.90M,"164,171"
67,RYTM,"Rhythm Pharmaceuticals, Inc.",6.35B,95.62,156.29M,53.55%,-188.44M,Healthcare,Biotechnology,177.05M,-107.72M,"73,850"
261,IESC,"IES Holdings, Inc.",7.21B,363.32,3.25B,17.84%,264.63M,Industrials,Engineering & Construction,95.59M,185.34M,"2,815"
298,PRIM,Primoris Services Corporation,6.44B,119.23,6.93B,15.08%,240.96M,Industrials,Engineering & Construction,-681.23M,499.71M,"323,275"
70,VSEC,VSE Corporation,3.54B,171.23,1.25B,52.47%,18.94M,Industrials,Aerospace & Defense,-400.51M,13.32M,"92,999"
71,CTRE,"CareTrust REIT, Inc.",7.66B,34.29,373.42M,50.83%,219.30M,Real Estate,REIT - Healthcare Facilities,-849.33M,-,"359,448"
34,CALM,"Cal-Maine Foods, Inc.",5.06B,104.25,4.26B,83.19%,1.22B,Consumer Staples,Farm Products,1.39B,1.06B,"318,219"
73,VIST,"Vista Energy, S.A.B. de C.V.",3.69B,36.3,1.98B,49.52%,577.31M,Energy,Oil & Gas Exploration & Production,-2.52B,-733.38M,"305,395"
208,VITL,"Vital Farms, Inc.",2.08B,46.55,657.95M,21.49%,51.57M,Consumer Staples,Farm Products,137.41M,-2.47M,"147,247"
243,MIAX,"Miami International Holdings, Inc.",3.27B,37.95,1.26B,19.63%,1.79M,Financials,Financial Data & Stock Exchanges,43.41M,19.23M,"59,151"
76,WGS,GeneDx Holdings Corp.,3.50B,121.94,362.32M,48.70%,1.41M,Healthcare,Diagnostics & Research,20.17M,830.00K,"284,551"
262,BIRK,Birkenstock Holding plc,8.42B,45.77,2.38B,17.60%,360.45M,Consumer Discretionary,Footwear & Accessories,-1.30B,358.33M,"1,251,389"
123,BTSG,"BrightSpring Health Services, Inc.",5.41B,26.63,12.57B,34.35%,65.52M,Healthcare,Health Information Services,-2.64B,191.12M,"863,739"
126,HNGE,"Hinge Health, Inc.",4.60B,58.59,480.79M,33.37%,-426.88M,Healthcare,Health Information Services,403.29M,91.17M,"472,123"
269,WAY,Waystar Holding Corp.,6.72B,38.54,1.01B,17.15%,85.95M,Healthcare,Health Information Services,-914.93M,278.56M,"1,009,145"
81,CNR,"Core Natural Resources, Inc.",3.96B,76.84,3.28B,47.13%,20.62M,Energy,Thermal Coal,21.86M,158.93M,"157,755"
82,FSM,Fortuna Mining Corp.,2.52B,8.08,1.19B,46.81%,157.67M,Materials,Gold,177.98M,215.74M,"6,517,824"
295,HQY,"HealthEquity, Inc.",7.79B,90.39,1.27B,15.45%,145.84M,Healthcare,Health Information Services,-750.56M,365.42M,"201,735"
74,ALHC,"Alignment Healthcare, Inc.",3.30B,16.66,3.34B,49.46%,-50.95M,Healthcare,Healthcare Plans,140.61M,28.41M,"1,563,602"
85,TFPM,Triple Flag Precious Metals Corp.,5.90B,28.19,324.21M,45.86%,172.19M,Materials,Other Precious Metals & Mining,84.67M,145.90M,"179,669"
86,GEMI,"Gemini Space Station, Inc.",3.51B,29.94,136.45M,44.86%,-399.65M,Financials,Capital Markets,-1.50B,-33.34M,"4,248,334"
87,NIQ,NIQ Global Intelligence plc,5.41B,18.36,4.03B,44.69%,-447.40M,Industrials,Consulting Services,-4.53B,-15.30M,"244,944"
88,HTFL,"HeartFlow, Inc.",2.72B,32.53,136.17M,44.32%,-107.84M,Healthcare,Diagnostics & Research,-93.50M,-63.74M,"72,009"
89,CACC,Credit Acceptance Corporation,5.61B,499.04,1.17B,43.92%,424.40M,Financials,Credit Services,-6.40B,1.11B,"11,525"
77,OSCR,"Oscar Health, Inc.",4.65B,18.02,10.73B,48.29%,-161.23M,Healthcare,Healthcare Plans,2.24B,1.20B,"13,964,703"
91,ADMA,"ADMA Biologics, Inc.",3.67B,15.38,474.17M,43.58%,208.93M,Healthcare,Biotechnology,6.46M,65.77M,"844,903"
92,VIRT,"Virtu Financial, Inc.",5.41B,35.38,2.62B,42.88%,379.20M,Financials,Capital Markets,8.02B,564.68M,"376,905"
93,MC,Moelis & Company,5.95B,73.76,1.38B,42.86%,198.10M,Financials,Capital Markets,2.89M,478.96M,"145,417"
94,CADE,Cadence Bank,6.78B,36.39,1.74B,42.82%,525.16M,Financials,Banks - Regional,-1.49B,581.13M,"282,629"
292,MOH,"Molina Healthcare, Inc.",9.58B,176.8,41.70B,15.57%,1.13B,Healthcare,Healthcare Plans,936.00M,427.00M,"276,819"
96,UUUU,Energy Fuels Inc.,3.17B,13.57,65.08M,42.73%,-93.10M,Energy,Uranium,205.90M,-114.13M,"8,538,479"
97,EGO,Eldorado Gold Corporation,5.73B,27.35,1.57B,42.25%,410.45M,Materials,Gold,-51.57M,-13.96M,"739,668"
98,MARA,"MARA Holdings, Inc.",6.35B,17.14,798.41M,41.32%,678.78M,Financials,Capital Markets,-2.54B,-1.70B,"41,058,751"
253,ELF,"e.l.f. Beauty, Inc.",8.43B,142.14,1.34B,18.61%,97.85M,Consumer Staples,Household & Personal Products,-144.76M,134.96M,"763,686"
100,RYN,Rayonier Inc.,4.07B,26.05,1.24B,40.53%,761.17M,Real Estate,REIT - Specialty,-164.08M,-,"361,097"
101,PSIX,"Power Solutions International, Inc.",2.20B,95.64,597.49M,40.10%,110.92M,Industrials,Specialty Industrial Machinery,-98.90M,62.23M,"222,157"
102,KRMN,Karman Holdings Inc.,8.49B,64.14,392.43M,39.80%,7.98M,Industrials,Aerospace & Defense,-458.35M,-30.74M,"179,345"
230,REZI,"Resideo Technologies, Inc.",5.80B,39,7.40B,20.00%,-816.00M,Industrials,Industrial Distribution,-1.52B,390.00M,"1,427,339"
18,INOD,Innodata Inc.,2.05B,64.35,228.14M,112.54%,42.69M,Technology,Information Technology Services,55.57M,36.07M,"883,960"
260,VNET,"VNET Group, Inc.",2.50B,9.29,1.26B,17.85%,5.86M,Technology,Information Technology Services,-2.87B,-228.35M,"3,357,017"
106,INTR,"Inter & Co, Inc.",3.91B,8.89,974.79M,38.56%,205.47M,Financials,Banks - Regional,-3.38B,-506.58M,"1,411,811"
107,MRX,Marex Group plc,2.35B,32.76,2.61B,38.46%,251.00M,Financials,Capital Markets,817.60M,1.62B,"398,226"
108,SON,Sonoco Products Company,4.66B,47.21,6.34B,37.96%,555.81M,Consumer Discretionary,Packaging & Containers,-5.42B,142.68M,"239,860"
297,EXLS,"ExlService Holdings, Inc.",6.88B,42.62,1.97B,15.15%,236.32M,Technology,Information Technology Services,10.31M,277.81M,"353,875"
33,BHF,"Brighthouse Financial, Inc.",2.69B,46.99,8.06B,83.37%,562.00M,Financials,Insurance - Life,-3.64B,-,"203,108"
111,SGHC,Super Group (SGHC) Limited,6.74B,13.39,2.23B,37.19%,143.82M,Consumer Discretionary,Gambling,333.00M,339.75M,"1,622,965"
112,CURB,Curbline Properties Corp.,2.36B,22.41,144.78M,36.72%,16.46M,Real Estate,REIT - Retail,330.78M,-,"92,212"
137,LNC,Lincoln National Corporation,7.52B,39.67,18.04B,31.97%,1.05B,Financials,Insurance - Life,-1.98B,-,"753,889"
114,HSAI,Hesai Group,4.39B,28.8,347.70M,36.51%,14.40M,Consumer Discretionary,Auto Parts,279.86M,-9.43M,"3,193,739"
115,HL,Hecla Mining Company,7.69B,11.49,1.06B,36.30%,99.71M,Materials,Other Precious Metals & Mining,-234.03M,91.39M,"12,374,051"
145,JXN,Jackson Financial Inc.,6.54B,93.86,5.70B,29.87%,-13.00M,Financials,Insurance - Life,-2.14B,-,"128,259"
117,CNX,CNX Resources Corporation,4.29B,30.32,1.81B,35.63%,155.72M,Energy,Oil & Gas Exploration & Production,-2.73B,471.83M,"428,873"
118,AUGO,Aura Minerals Inc.,2.67B,31.66,679.91M,35.59%,-60.38M,Materials,Gold,-313.79M,34.52M,"74,205"
68,PLMR,"Palomar Holdings, Inc.",3.08B,115.16,682.21M,52.98%,154.91M,Financials,Insurance - Property & Casualty,81.30M,380.66M,"58,731"
120,HALO,"Halozyme Therapeutics, Inc.",8.85B,75.7,1.18B,34.97%,557.28M,Healthcare,Biotechnology,-989.89M,540.69M,"276,103"
121,IFS,Intercorp Financial Services Inc.,4.65B,41.29,1.51B,34.92%,535.67M,Financials,Banks - Regional,-168.54M,-671.79M,"85,938"
122,MPW,"Medical Properties Trust, Inc.",2.95B,4.905,984.71M,34.52%,-1.43B,Real Estate,REIT - Healthcare Facilities,-9.14B,-,"3,212,668"
159,LMND,"Lemonade, Inc.",4.20B,56.82,600.70M,27.51%,-204.00M,Financials,Insurance - Property & Casualty,233.80M,-21.40M,"1,083,595"
124,TBBB,BBB Foods Inc.,3.03B,26,3.56B,34.17%,-7.37M,Consumer Staples,Discount Stores,-352.06M,86.41M,"77,665"
213,KNSL,"Kinsale Capital Group, Inc.",9.86B,423,1.72B,21.12%,446.67M,Financials,Insurance - Property & Casualty,-46.16M,940.11M,"42,582"
259,HGTY,"Hagerty, Inc.",4.26B,12.45,1.30B,17.90%,18.45M,Financials,Insurance - Property & Casualty,58.56M,131.53M,"63,940"
301,MCY,Mercury General Corporation,4.29B,77.44,5.77B,14.93%,390.07M,Financials,Insurance - Property & Casualty,532.08M,817.53M,"43,306"
313,ORI,Old Republic International Corporation,9.57B,39.32,8.67B,14.20%,893.60M,Financials,Insurance - Property & Casualty,-1.41B,-,"241,420"
129,SNV,Synovus Financial Corp.,6.95B,50.06,2.24B,32.95%,738.49M,Financials,Banks - Regional,-1.24B,710.57M,"718,934"
130,CRGY,Crescent Energy Company,2.21B,8.68,3.47B,32.84%,23.09M,Energy,Oil & Gas Integrated,-3.38B,-708.15M,"1,126,029"
131,PLBL,Polibeli Group Ltd,3.72B,10,30.23M,32.62%,-10.98M,Consumer Discretionary,Department Stores,2.12M,-5.67M,"2,469"
132,ZLAB,Zai Lab Limited,3.60B,32.36,427.80M,32.56%,-212.52M,Healthcare,Biotechnology,540.76M,-183.67M,"142,443"
210,HG,"Hamilton Insurance Group, Ltd.",2.38B,23.72,2.60B,21.31%,380.46M,Financials,Insurance - Reinsurance,835.96M,697.98M,"84,239"
134,BVN,Compañía de Minas Buenaventura S.A.A.,5.14B,20.23,1.31B,32.25%,501.93M,Materials,Other Precious Metals & Mining,-271.69M,132.42M,"398,937"
135,MAC,The Macerich Company,4.71B,17.87,1.05B,32.06%,-411.28M,Real Estate,REIT - Retail,-5.26B,-,"375,995"
136,GBDC,"Golub Capital BDC, Inc.",3.74B,14.03,877.34M,31.97%,375.56M,Financials,Asset Management,-5.03B,-,"615,928"
185,GSHD,"Goosehead Insurance, Inc",2.94B,78.7,340.76M,23.70%,29.91M,Financials,Insurance Brokers,-258.67M,82.15M,"242,318"
138,UMBF,UMB Financial Corporation,8.96B,117.96,1.95B,31.18%,524.34M,Financials,Banks - Regional,-1.46B,663.08M,"79,359"
139,KGS,"Kodiak Gas Services, Inc.",2.85B,32.92,1.29B,31.01%,83.23M,Energy,Oil & Gas Equipment & Services,-2.60B,126.92M,"286,873"
140,TGTX,"TG Therapeutics, Inc.",4.60B,31.54,454.07M,30.96%,60.46M,Healthcare,Biotechnology,-2.66M,-59.24M,"553,225"
141,AGIO,"Agios Pharmaceuticals, Inc.",2.12B,36.51,40.88M,30.57%,650.08M,Healthcare,Biotechnology,1.29B,-409.03M,"105,871"
142,LQDA,Liquidia Corporation,2.27B,26.35,19.32M,30.20%,-151.59M,Healthcare,Biotechnology,-26.96M,-120.48M,"554,506"
143,RXRX,"Recursion Pharmaceuticals, Inc.",2.11B,4.83,64.60M,30.14%,-649.13M,Healthcare,Biotechnology,437.04M,-393.87M,"8,000,552"
191,GXO,"GXO Logistics, Inc.",5.78B,50.46,12.68B,22.39%,63.00M,Industrials,Integrated Freight & Logistics,-5.42B,93.00M,"166,817"
133,RUM,Rumble Inc.,2.54B,7.51,104.08M,32.45%,-301.17M,Communication Services,Internet Content & Information,281.40M,-63.04M,"837,726"
146,AUB,Atlantic Union Bankshares Corporation,4.92B,34.55,908.47M,29.68%,191.94M,Financials,Banks - Regional,498.41M,2.13B,"174,075"
175,GENI,Genius Sports Limited,2.91B,12.22,558.44M,25.76%,-77.85M,Communication Services,Internet Content & Information,190.99M,38.09M,"1,158,014"
127,GLBE,Global-E Online Ltd.,6.09B,35.9,843.64M,33.30%,-28.42M,Consumer Discretionary,Internet Retail,490.84M,149.58M,"643,546"
46,FUN,Six Flags Entertainment Corporation,2.42B,23.85,3.17B,67.95%,-483.64M,Consumer Discretionary,Leisure,-5.41B,-197.20M,"670,012"
267,LTH,"Life Time Group Holdings, Inc.",6.12B,27.83,2.82B,17.25%,226.76M,Consumer Discretionary,Leisure,-3.91B,105.93M,"1,090,657"
151,NE,Noble Corporation plc,5.00B,31.5,3.29B,28.85%,309.04M,Energy,Oil & Gas Drilling,-1.64B,410.32M,"640,312"
152,GH,"Guardant Health, Inc.",6.79B,54.46,828.85M,28.74%,-413.82M,Healthcare,Diagnostics & Research,-811.35M,-271.73M,"585,817"
153,CPRX,"Catalyst Pharmaceuticals, Inc.",2.44B,19.93,558.50M,28.55%,208.67M,Healthcare,Biotechnology,649.81M,274.72M,"550,013"
110,ATAT,Atour Lifestyle Holdings Limited,5.43B,39.45,1.17B,37.80%,192.84M,Consumer Discretionary,Lodging,489.53M,239.32M,"401,337"
155,AROC,"Archrock, Inc.",4.22B,24.03,1.35B,28.23%,228.55M,Energy,Oil & Gas Equipment & Services,-2.62B,16.73M,"373,367"
271,OPCH,"Option Care Health, Inc.",4.50B,27.71,5.37B,17.07%,211.25M,Healthcare,Medical Care Facilities,-1.02B,241.17M,"554,763"
283,ENSG,"The Ensign Group, Inc.",9.44B,164.76,4.61B,16.31%,322.80M,Healthcare,Medical Care Facilities,-1.62B,137.54M,"65,000"
158,ALK,"Alaska Air Group, Inc.",6.55B,56.76,13.45B,27.81%,313.00M,Industrials,Airlines,-4.25B,-8.00M,"1,094,063"
62,PRCT,PROCEPT BioRobotics Corporation,2.17B,39.02,274.95M,55.71%,-84.15M,Healthcare,Medical Devices,223.35M,-89.27M,"404,818"
160,NGD,New Gold Inc.,5.31B,6.48,1.03B,27.25%,144.90M,Materials,Gold,-425.80M,-77.00M,"8,244,530"
161,SM,SM Energy Company,3.11B,27.09,3.00B,27.02%,812.74M,Energy,Oil & Gas Exploration & Production,-2.63B,-1.51B,"500,975"
162,RSI,"Rush Street Interactive, Inc.",4.78B,20.94,1.02B,26.99%,25.22M,Consumer Discretionary,Gambling,240.18M,109.17M,"236,550"
78,TMDX,"TransMedics Group, Inc.",4.01B,117.68,531.29M,48.09%,71.66M,Healthcare,Medical Devices,-118.25M,17.35M,"311,004"
164,RARE,Ultragenyx Pharmaceutical Inc.,2.85B,29.63,610.16M,26.77%,-532.93M,Healthcare,Biotechnology,-343.87M,-427.30M,"504,824"
165,GKOS,Glaukos Corporation,4.68B,81.73,432.95M,26.70%,-92.79M,Healthcare,Medical Devices,167.44M,-26.92M,"384,693"
166,GPOR,Gulfport Energy Corporation,3.03B,172.71,1.14B,26.64%,-123.82M,Energy,Oil & Gas Exploration & Production,-692.32M,284.98M,"91,246"
167,PAX,Patria Investments Limited,2.36B,14.82,397.50M,26.52%,84.18M,Financials,Asset Management,-127.20M,-,"118,208"
169,ATEC,"Alphatec Holdings, Inc.",2.23B,15.06,682.24M,26.27%,-166.00M,Healthcare,Medical Devices,-429.57M,-22.38M,"325,308"
174,MASI,Masimo Corporation,7.83B,144.18,2.15B,25.86%,-459.20M,Healthcare,Medical Devices,-492.60M,159.90M,"154,172"
170,PRMB,Primo Brands Corporation,8.48B,22.69,6.05B,26.26%,-48.10M,Consumer Staples,Beverages - Non-Alcoholic,-5.31B,353.30M,"1,272,356"
171,LOAR,Loar Holdings Inc.,7.36B,78.57,451.74M,26.15%,44.37M,Industrials,Aerospace & Defense,-183.76M,80.10M,"115,001"
192,IRTC,"iRhythm Technologies, Inc.",5.61B,174.55,657.23M,22.37%,-92.43M,Healthcare,Medical Devices,-189.20M,27.88M,"45,237"
173,HP,"Helmerich & Payne, Inc.",2.16B,21.71,3.43B,25.92%,-32.99M,Energy,Oil & Gas Drilling,-2.15B,36.55M,"427,467"
196,INSP,"Inspire Medical Systems, Inc.",2.39B,80.97,861.31M,22.05%,53.12M,Healthcare,Medical Devices,267.84M,85.01M,"257,892"
264,GMED,"Globus Medical, Inc.",7.82B,57.91,2.63B,17.44%,356.65M,Healthcare,Medical Devices,108.04M,527.43M,"235,520"
176,CORT,Corcept Therapeutics Incorporated,7.35B,69.78,716.08M,25.71%,132.01M,Healthcare,Biotechnology,508.40M,180.27M,"251,845"
315,LMAT,"LeMaitre Vascular, Inc.",2.09B,92.25,234.64M,14.11%,47.12M,Healthcare,Medical Instruments & Supplies,133.60M,52.32M,"72,853"
178,FOLD,"Amicus Therapeutics, Inc.",2.45B,7.94,571.16M,25.35%,-38.10M,Healthcare,Biotechnology,-212.32M,-48.91M,"1,214,808"
179,EPRT,"Essential Properties Realty Trust, Inc.",5.87B,29.54,503.26M,25.14%,223.14M,Real Estate,REIT - Retail,-2.34B,-,"457,953"
316,WRBY,Warby Parker Inc.,3.26B,26.69,821.35M,14.09%,-9.23M,Healthcare,Medical Instruments & Supplies,58.01M,52.37M,"497,822"
47,PFSI,"PennyMac Financial Services, Inc.",6.41B,123.9,3.57B,65.90%,386.60M,Financials,Mortgage Finance,-18.25B,-1.61B,"57,290"
299,WD,"Walker & Dunlop, Inc.",2.89B,84.92,1.11B,15.06%,107.84M,Financials,Mortgage Finance,-1.75B,-202.85M,"32,037"
