No.,Symbol,Company Name,Market Cap,Stock Price,Revenue,Rev. Growth,Net Income,Sector,Industry,Net Cash,FCF,Volume
38,PM,Philip Morris International Inc.,254.04B,163.2,39.06B,7.16%,8.21B,Consumer Staples,Tobacco,-47.35B,8.99B,"1,406,998"
33,TMUS,"T-Mobile US, Inc.",267.35B,237.56,84.05B,6.27%,12.22B,Communication Services,Telecom Services,-108.42B,16.51B,"1,350,364"
23,ABBV,AbbVie Inc.,383.20B,216.92,58.33B,6.05%,3.72B,Healthcare,Drug Manufacturers - General,-64.12B,18.24B,"1,210,905"
3,AAPL,Apple Inc.,"3,548.93B",239.14,408.63B,5.97%,99.28B,Technology,Consumer Electronics,31.29B,96.18B,"32,477,090"
20,COST,Costco Wholesale Corporation,423.42B,954.77,268.78B,5.95%,7.84B,Consumer Staples,Discount Stores,6.49B,7.32B,"602,906"
46,ABT,Abbott Laboratories,231.10B,132.78,43.11B,5.85%,13.93B,Healthcare,Medical Devices,-6.19B,6.78B,"1,615,233"
26,BABA,Alibaba Group Holding Limited,358.57B,160.62,139.70B,5.32%,20.70B,Consumer Discretionary,Internet Retail,22.77B,3.64B,"12,221,630"
34,CSCO,Cisco Systems,264.43B,66.89,56.65B,5.30%,10.18B,Technology,Communication Equipment,-12.97B,13.29B,"5,252,141"
55,DIS,The Walt Disney Company,206.44B,114.82,94.54B,5.01%,11.55B,Communication Services,Entertainment,-36.90B,11.55B,"2,190,438"
19,JNJ,Johnson & Johnson,426.35B,177.03,90.63B,4.68%,22.66B,Healthcare,Drug Manufacturers - General,-31.88B,18.55B,"2,012,602"
35,TM,Toyota Motor Corporation,259.60B,199.12,335.83B,4.45%,29.62B,Consumer Discretionary,Auto Manufacturers,-155.77B,1.68B,"42,943"
13,WMT,Walmart Inc.,824.39B,103.4,693.15B,4.23%,21.34B,Consumer Staples,Discount Stores,-57.13B,13.75B,"4,094,919"
24,BAC,Bank of America Corporation,374.20B,50.52,98.46B,3.90%,26.59B,Financials,Banks - Diversified,18.87B,-22.68B,"10,078,699"
43,IBM,International Business Machines Corporation,239.77B,257.4,64.04B,2.69%,5.83B,Technology,Information Technology Services,-52.27B,12.24B,"863,228"
59,MRK,"Merck & Co., Inc.",202.63B,81.13,63.62B,1.82%,16.41B,Healthcare,Drug Manufacturers - General,-26.78B,14.72B,"4,122,728"
12,JPM,JPMorgan Chase & Co.,847.17B,308.09,163.75B,1.71%,55.16B,Financials,Banks - Diversified,372.05B,-,"2,508,251"
53,T,AT&T Inc.,209.47B,29.3,123.98B,1.46%,12.66B,Communication Services,Telecom Services,-141.49B,19.62B,"11,422,607"
32,KO,The Coca-Cola Company,286.02B,66.46,47.06B,1.29%,12.18B,Consumer Staples,Beverages - Non-Alcoholic,-35.92B,-722.00M,"5,317,126"
50,LIN,Linde plc,221.78B,472.97,33.25B,1.28%,6.71B,Materials,Specialty Chemicals,-21.13B,5.07B,"460,306"
51,MCD,McDonald's Corporation,217.01B,304.11,26.06B,1.17%,8.39B,Consumer Discretionary,Restaurants,-54.01B,6.90B,"1,150,786"
25,PG,The Procter & Gamble Company,369.23B,157.76,84.28B,0.29%,15.68B,Consumer Staples,Household & Personal Products,-26.97B,14.04B,"2,030,740"
10,BRK.B,Berkshire Hathaway Inc.,"1,059.98B",487.76,370.15B,0.01%,62.92B,Financials,Insurance - Diversified,217.07B,8.23B,"1,374,178"
36,WFC,Wells Fargo & Company,259.43B,80.99,77.62B,-0.79%,19.48B,Financials,Banks - Diversified,1.12B,-,"3,547,681"
45,HSBC,HSBC Holdings plc,237.65B,68.83,56.21B,-1.47%,17.84B,Financials,Banks - Diversified,366.56B,6.17B,"868,614"
8,TSLA,"Tesla, Inc.","1,395.10B",419.8,92.72B,-2.73%,5.88B,Consumer Discretionary,Auto Manufacturers,23.65B,5.59B,"59,317,434"
28,CVX,Chevron Corporation,324.25B,159.79,189.27B,-3.06%,13.72B,Energy,Oil & Gas Integrated,-25.40B,16.10B,"1,814,288"
18,XOM,Exxon Mobil Corporation,489.21B,114.75,329.82B,-3.99%,31.02B,Energy,Oil & Gas Integrated,-24.64B,29.12B,"5,324,887"
56,CAT,Caterpillar Inc.,204.55B,436.63,63.14B,-4.87%,9.44B,Industrials,Farm & Heavy Construction Machinery,-36.32B,7.74B,"675,629"
54,SHEL,Shell plc,208.20B,72.5,272.01B,-9.94%,13.60B,Energy,Oil & Gas Integrated,-42.99B,28.75B,"3,729,352"
