symbol,company name
CVLT,"Commvault Systems, Inc."
GCT,GigaCloud Technology Inc.
NOW,"ServiceNow, Inc."
MNSO,MINISO Group Holding Limited
SPSC,"SPS Commerce, Inc."
CLBT,Cellebrite DI Ltd.
LYFT,"Lyft, Inc."
PDD,PDD Holdings Inc.
YOU,"Clear Secure, Inc."
FRSH,Freshworks Inc.
GPI,"Group 1 Automotive, Inc."
TEAM,Atlassian Corporation
APPF,"AppFolio, Inc."
DOCS,"Doximity, Inc."
META,"Meta Platforms, Inc."
SRAD,Sportradar Group AG
TASK,"TaskUs, Inc."
WK,Workiva Inc.
HUBS,"HubSpot, Inc."
GRAB,Grab Holdings Limited
DT,"Dynatrace, Inc."
CPNG,"Coupang, Inc."
SDGR,"Schrödinger, Inc."
UBER,"Uber Technologies, Inc."
MMYT,MakeMyTrip Limited
NTNX,"Nutanix, Inc."
AGYS,"Agilysys, Inc."
VIK,Viking Holdings Ltd
MQ,"Marqeta, Inc."
ESTC,Elastic N.V.
WAY,Waystar Holding Corp.
INTA,"Intapp, Inc."
PINS,"Pinterest, Inc."
FICO,Fair Isaac Corporation
DV,"DoubleVerify Holdings, Inc."
PCOR,"Procore Technologies, Inc."
QCOM,QUALCOMM Incorporated
INTU,Intuit Inc.
ONTO,Onto Innovation Inc.
HQY,"HealthEquity, Inc."
VEEV,Veeva Systems Inc.
PHR,"Phreesia, Inc."
Z,"Zillow Group, Inc."
ZG,"Zillow Group, Inc."
EXLS,ExlService Holdings
VERX,"Vertex, Inc."
MSFT,Microsoft Corporation
PANW,"Palo Alto Networks, Inc."
SPOT,Spotify Technology S.A.
PAGS,PagSeguro Digital Ltd.
JD,"JD.com, Inc."
FTNT,"Fortinet, Inc."
VRNS,"Varonis Systems, Inc."
UCTT,"Ultra Clean Holdings, Inc."
FIVN,"Five9, Inc."
EVCM,EverCommerce Inc.
PENG,"Penguin Solutions, Inc."
BZ,Kanzhun Limited
WDAY,"Workday, Inc."
FIVE,"Five Below, Inc."
ADSK,"Autodesk, Inc."
PCTY,Paylocity Holding Corporation
APPN,"Appian Corporation
ROP,Roper Technologies"
YEXT,"Yext, Inc."
DAY,Dayforce Inc.
BILL,"BILL Holdings, Inc."
QTWO,"Q2 Holdings, Inc."
DOCN,"DigitalOcean Holdings, Inc."
NCNO,"nCino, Inc."
SNAP,Snap Inc.
GOOGL,Alphabet Inc.
GOOG,Alphabet Inc.
WIX,Wix.com Ltd.
PAYO,Payoneer Global Inc.
EVTC,"EVERTEC, Inc."
DSGX,The Descartes Systems Group Inc.
OKTA,"Okta, Inc."
DRVN,Driven Brands Holdings Inc.
CACI,CACI International Inc
PEGA,Pegasystems Inc.
RAMP,"LiveRamp Holdings, Inc."
RCL,Royal Caribbean Cruises Ltd.
PRVA,"Privia Health Group, Inc."
TBLA,Taboola.com Ltd.
BKNG,Booking Holdings Inc.
CERT,"Certara, Inc."
TWLO,Twilio Inc.
RDWR,Radware Ltd.
PTC,PTC Inc.
TENB,"Tenable Holdings, Inc."
NICE,NICE Ltd.
JAMF,Jamf Holding Corp.
PSTG,"Pure Storage, Inc."
CNXC,Concentrix Corporation
ACIW,"ACI Worldwide, Inc."
ATEN,"A10 Networks, Inc."
KARO,Karooooo Ltd.
CCL,Carnival Corporation & plc
CUK,Carnival Corporation & plc
TYL,"Tyler Technologies, Inc."
RVLV,"Revolve Group, Inc."
ADBE,Adobe Inc.
GEN,Gen Digital Inc.
TME,Tencent Music Entertainment Group
CART,Maplebear Inc.
DELL,Dell Technologies Inc.
BSY,"Bentley Systems, Incorporated"
SAP,SAP SE
ABNB,"Airbnb, Inc."
PAYC,"Paycom Software, Inc."
LAD,"Lithia Motors, Inc."
